epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,7476.53,0.89937,0.65293,1.24345,0.87452,0.86979,0.91526,0.66935,0.88423,0.51547,1.31908,4.951e-05,4.951e-05,4.951e-05
53,7619.74,0.89333,0.65897,1.24014,0.85568,0.87083,0.91491,0.66702,0.88552,0.51673,1.32298,4.852e-05,4.852e-05,4.852e-05
54,7762.43,0.895,0.66087,1.2373,0.8719,0.85816,0.91394,0.66639,0.8867,0.51732,1.31972,4.753e-05,4.753e-05,4.753e-05
55,7905.51,0.88431,0.64404,1.23204,0.87245,0.85879,0.91072,0.66718,0.88701,0.52001,1.32307,4.654e-05,4.654e-05,4.654e-05
56,8048.77,0.88632,0.64383,1.23245,0.87094,0.86413,0.90882,0.66392,0.88589,0.51824,1.32124,4.555e-05,4.555e-05,4.555e-05
57,8191.76,0.88411,0.65106,1.23373,0.87711,0.85862,0.91239,0.66736,0.88735,0.51745,1.32339,4.456e-05,4.456e-05,4.456e-05
58,8334.6,0.88343,0.64301,1.23346,0.87923,0.85956,0.91176,0.66848,0.88771,0.51885,1.32541,4.357e-05,4.357e-05,4.357e-05
59,8477.35,0.87921,0.64177,1.22811,0.88543,0.85727,0.91281,0.67259,0.88612,0.51816,1.3224,4.258e-05,4.258e-05,4.258e-05
60,8621.14,0.87144,0.6369,1.22238,0.88066,0.85879,0.9166,0.67327,0.88479,0.51321,1.32102,4.159e-05,4.159e-05,4.159e-05
61,8763.75,0.87442,0.63533,1.22801,0.88186,0.85846,0.91653,0.67284,0.88533,0.51274,1.32209,4.06e-05,4.06e-05,4.06e-05
62,8906.03,0.87251,0.63866,1.22461,0.89061,0.85816,0.91819,0.67278,0.88436,0.51052,1.32184,3.961e-05,3.961e-05,3.961e-05
63,9047.9,0.87324,0.63082,1.22714,0.88146,0.85315,0.91808,0.67438,0.88167,0.5089,1.31883,3.862e-05,3.862e-05,3.862e-05
64,9191.71,0.86468,0.6253,1.21999,0.8595,0.87889,0.91624,0.67544,0.88267,0.50916,1.31982,3.763e-05,3.763e-05,3.763e-05
65,9334.72,0.8665,0.62925,1.21987,0.87686,0.85856,0.91556,0.67219,0.88236,0.50956,1.32054,3.664e-05,3.664e-05,3.664e-05
66,9477.4,0.86825,0.62478,1.22133,0.88225,0.85354,0.91679,0.67183,0.88098,0.50933,1.31795,3.565e-05,3.565e-05,3.565e-05
67,9619.94,0.86865,0.62477,1.22826,0.88663,0.8491,0.91693,0.67457,0.87996,0.50967,1.31806,3.466e-05,3.466e-05,3.466e-05
68,9762.42,0.86004,0.62418,1.2137,0.89471,0.8441,0.91617,0.67623,0.87904,0.51001,1.31626,3.367e-05,3.367e-05,3.367e-05
69,9905.86,0.86265,0.62872,1.2146,0.89532,0.84283,0.91577,0.67688,0.87897,0.51011,1.3155,3.268e-05,3.268e-05,3.268e-05
70,10048.6,0.85682,0.62918,1.20647,0.88632,0.84352,0.91454,0.67547,0.87824,0.50975,1.3152,3.169e-05,3.169e-05,3.169e-05
71,10191.2,0.85962,0.61977,1.21709,0.8912,0.8443,0.91487,0.67768,0.87727,0.50901,1.31497,3.07e-05,3.07e-05,3.07e-05
72,10334.3,0.85618,0.62478,1.21156,0.89786,0.83995,0.91606,0.67613,0.8766,0.50956,1.31522,2.971e-05,2.971e-05,2.971e-05
73,10477.3,0.85672,0.62055,1.21096,0.88875,0.84738,0.9155,0.67746,0.87677,0.51084,1.31633,2.872e-05,2.872e-05,2.872e-05
74,10619.9,0.85083,0.61242,1.20548,0.89084,0.85121,0.9164,0.67873,0.87642,0.51097,1.31564,2.773e-05,2.773e-05,2.773e-05
75,10763.1,0.85173,0.61377,1.21222,0.89683,0.84651,0.91751,0.67929,0.87648,0.5099,1.3171,2.674e-05,2.674e-05,2.674e-05
76,10905.9,0.85062,0.62001,1.20902,0.9046,0.84344,0.91615,0.67644,0.87594,0.50977,1.31664,2.575e-05,2.575e-05,2.575e-05
77,11048.7,0.85071,0.61755,1.20655,0.90199,0.84359,0.9152,0.67829,0.87534,0.51065,1.31594,2.476e-05,2.476e-05,2.476e-05
78,11191.3,0.84451,0.60987,1.20176,0.88918,0.84598,0.91549,0.67788,0.87582,0.51002,1.31618,2.377e-05,2.377e-05,2.377e-05
79,11334.3,0.84195,0.61124,1.20237,0.88701,0.84762,0.91605,0.67894,0.87554,0.50973,1.31608,2.278e-05,2.278e-05,2.278e-05
80,11477,0.84372,0.60937,1.20054,0.88587,0.8485,0.91662,0.67797,0.87475,0.51021,1.31577,2.179e-05,2.179e-05,2.179e-05
81,11619.5,0.84082,0.60288,1.19988,0.88218,0.84882,0.91518,0.67822,0.87446,0.50984,1.3159,2.08e-05,2.08e-05,2.08e-05
82,11761.3,0.8477,0.6084,1.20473,0.88918,0.84602,0.91559,0.67822,0.87422,0.50883,1.31576,1.981e-05,1.981e-05,1.981e-05
83,11904.2,0.8456,0.61041,1.20146,0.88702,0.84592,0.91565,0.6765,0.87393,0.50913,1.31633,1.882e-05,1.882e-05,1.882e-05
84,12046.6,0.84157,0.60875,1.19805,0.89356,0.83957,0.91581,0.67699,0.87319,0.50888,1.31582,1.783e-05,1.783e-05,1.783e-05
85,12189.4,0.83326,0.60434,1.19519,0.87037,0.85893,0.91593,0.67846,0.87263,0.50968,1.31519,1.684e-05,1.684e-05,1.684e-05
86,12332.1,0.83528,0.60822,1.19822,0.87264,0.86181,0.91526,0.67907,0.8727,0.5102,1.31573,1.585e-05,1.585e-05,1.585e-05
87,12474.5,0.83199,0.59741,1.19121,0.87286,0.86256,0.91489,0.67928,0.87231,0.50924,1.31661,1.486e-05,1.486e-05,1.486e-05
