epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,25263.6,0.50526,3.05072,1.19862,0.93386,0.90602,0.94988,0.64895,0.55741,3.55824,1.25357,0.000151833,0.000151833,0.000151833
78,25590.2,0.49965,3.02232,1.18125,0.93365,0.9039,0.94892,0.64907,0.55746,3.55568,1.25338,0.000145949,0.000145949,0.000145949
79,25919.1,0.50108,2.99022,1.17773,0.93345,0.90548,0.94949,0.64931,0.55742,3.54173,1.253,0.000140137,0.000140137,0.000140137
80,26247.8,0.49651,2.9688,1.18064,0.93329,0.90666,0.94971,0.65036,0.55692,3.54117,1.25232,0.000134403,0.000134403,0.000134403
81,26574.2,0.50082,2.9919,1.18238,0.93375,0.90647,0.95007,0.65041,0.55678,3.53604,1.25231,0.00012875,0.00012875,0.00012875
82,26901.8,0.49752,2.94567,1.17722,0.93393,0.90669,0.94998,0.65037,0.55635,3.53339,1.25196,0.000123182,0.000123182,0.000123182
83,27231.3,0.49553,2.94073,1.17965,0.93542,0.90702,0.95027,0.65125,0.55612,3.52837,1.25183,0.000117702,0.000117702,0.000117702
84,27558.2,0.49363,2.91636,1.16915,0.93117,0.91054,0.95041,0.65216,0.55572,3.52029,1.2514,0.000112314,0.000112314,0.000112314
85,27886.9,0.49017,2.87749,1.17392,0.93484,0.90911,0.95039,0.65219,0.55559,3.51742,1.25119,0.000107023,0.000107023,0.000107023
86,28212.6,0.48667,2.86111,1.16816,0.93307,0.91026,0.95032,0.65204,0.55565,3.51734,1.2513,0.000101832,0.000101832,0.000101832
87,28537.6,0.49083,2.84693,1.16526,0.93176,0.90943,0.95026,0.65251,0.55562,3.51192,1.25119,9.67432e-05,9.67432e-05,9.67432e-05
88,28866.9,0.4877,2.83371,1.16858,0.93616,0.90632,0.95036,0.65262,0.5556,3.51372,1.25121,9.17616e-05,9.17616e-05,9.17616e-05
89,29193.8,0.48179,2.81937,1.15797,0.93301,0.90772,0.95046,0.65233,0.55558,3.513,1.25094,8.68902e-05,8.68902e-05,8.68902e-05
90,29523.3,0.4832,2.82334,1.15676,0.93348,0.90699,0.94958,0.65271,0.55542,3.51261,1.25087,8.21322e-05,8.21322e-05,8.21322e-05
91,29848.6,0.48363,2.77718,1.15956,0.93432,0.90647,0.94983,0.65326,0.55545,3.50784,1.25078,7.74911e-05,7.74911e-05,7.74911e-05
92,30175,0.47878,2.76113,1.1573,0.93556,0.9068,0.94943,0.65358,0.55514,3.5094,1.25043,7.29698e-05,7.29698e-05,7.29698e-05
93,30503.6,0.4769,2.75289,1.15325,0.93456,0.90678,0.94932,0.65435,0.555,3.50853,1.25066,6.85717e-05,6.85717e-05,6.85717e-05
94,30830.8,0.47943,2.76604,1.15226,0.93537,0.9047,0.94924,0.65443,0.55472,3.50619,1.25029,6.42995e-05,6.42995e-05,6.42995e-05
95,31160.7,0.47421,2.72296,1.15618,0.93587,0.90534,0.94922,0.65442,0.55474,3.50796,1.25043,6.01564e-05,6.01564e-05,6.01564e-05
96,31486.5,0.47668,2.73365,1.14928,0.93575,0.90578,0.94897,0.65425,0.55483,3.50831,1.25045,5.6145e-05,5.6145e-05,5.6145e-05
97,31814.3,0.47153,2.68984,1.1483,0.93562,0.90585,0.94845,0.65369,0.55493,3.50357,1.25055,5.22683e-05,5.22683e-05,5.22683e-05
98,32144.1,0.47327,2.69869,1.15493,0.9365,0.90584,0.94885,0.65399,0.55509,3.50321,1.25066,4.85288e-05,4.85288e-05,4.85288e-05
99,32469.2,0.47083,2.69733,1.14789,0.93679,0.90588,0.94894,0.65472,0.55509,3.50013,1.25062,4.4929e-05,4.4929e-05,4.4929e-05
100,32796.1,0.46753,2.6684,1.14469,0.93599,0.90431,0.94802,0.65466,0.55499,3.49724,1.25054,4.14716e-05,4.14716e-05,4.14716e-05
101,33124.1,0.46908,2.69388,1.14652,0.93737,0.90434,0.94855,0.65469,0.55508,3.49603,1.25061,3.81587e-05,3.81587e-05,3.81587e-05
102,33452.4,0.46443,2.65749,1.14097,0.93633,0.90407,0.94849,0.65501,0.55517,3.49746,1.2509,3.49928e-05,3.49928e-05,3.49928e-05
103,33782,0.46658,2.65306,1.14219,0.93622,0.90415,0.94901,0.65497,0.55515,3.49647,1.25096,3.19759e-05,3.19759e-05,3.19759e-05
104,34107.9,0.46633,2.63566,1.13382,0.93617,0.90428,0.94894,0.65479,0.5552,3.49483,1.25101,2.91101e-05,2.91101e-05,2.91101e-05
105,34435,0.46419,2.65103,1.1367,0.93569,0.90446,0.9489,0.65451,0.55528,3.49422,1.2513,2.63975e-05,2.63975e-05,2.63975e-05
